0006944501,1,1069
0006018073,1,1680
0002267974,1,285
0016144236,1,550
0014516980122,1,249
0004134266,1,1780
0012662252,1,488
0004401294,1,276
0000319874,1,2199
0006944501,1,1069
0003248055,1,799
0018924850,2,792
0000445944,1,404
0013850723,1,2980
0003448524,2,390
0002689481,1,702
0005667605,1,488
0024026973,1,198
0023733533,1,1710
0000445966,1,808
0023733533,1,1710
0000445966,1,808
0006696550,1,12690
0013856113,1,1653
0000154150021,1,640
0018645756,1,1180
0018476220,1,990
0022844750003,1,399
0014555450,1,472
0007001450024,1,199
0006304712,1,399
0022827254,1,599
0019464034,1,2990
0022588156,1,1782
0014252055,1,1636
0002762395,1,1780
0018282261,1,990
0012677372,1,399
0009922054,1,2990
0022827254,1,599
0007174860,1,799
0023728806,2,899
0022810650015,1,850
0018435450051,1,199
0011617850005,1,199
0018895450000,1,199
0014252055,1,1636
0013018320,1,25235
0020100172,2,199
0009871690006,1,799
0002105692,1,1180
0014302110001,1,1588
0018979656,1,928
0004134266,1,1780
0018639703,1,1099
0005720470011,1,229
0024126281,1,3689
0023532736,1,999
0018290060040,1,199
0003594673,1,529
0005541530035,1,390
0018434393,1,250
0023257660020,1,1584
0000270281,1,1010
0018504861,1,2299
0007389933,1,2700
0018904070032,1,2057
0003921374,1,945
0005448892,1,1044
0018515960002,1,1050
0000272801,1,680
0005924494,1,838
0006173160,3,1076
0013371621,1,10799
0013830520001,1,549
0000698795,2,699
0013294770016,1,699
0021949443,1,899
0019801051,1,599
0023631683,1,499
0014560652,1,849
0001990866,1,645
0021949443,1,899
0002666910013,1,2518
0002658655,1,2518
0022498652,1,13500
0018786680010,1,990
0010849974,1,999
0007389933,1,2700
0021949443,1,899
0007264320,1,549
0021949443,1,899
0003770163,1,199
0004134266,1,1780
0023602121,1,466
0022360601,1,699
0009677566,1,699
0023467990,1,1499
0022163930025,1,672
0023369840023,1,690
0007059146,1,749
0023731514,1,899
0018706250032,1,1422
0003835856,1,290
0007371652,3,119
0007371663,3,119
0018620523,3,99
0004284685,1,5250
0014303284,1,499
0003248055,1,799
0023959890043,1,605
